model,brand,colors,approx_price_EUR,img_url,display_size,display_type,CPU,RAM
Liquid E,Acer,Black| White| Red| Ferrari edition,90,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e-new.jpg,480 x 800 pixels (~267 ppi pixel density),TFT capacitive touchscreen  256K colors,768 MHz Scorpion,512 MB RAM
neoTouch P400,Acer,Black,100,http://cdn2.gsmarena.com/vv/bigpic/acer-neotouch-p400.jpg,320 x 480 pixels (~180 ppi pixel density),TFT resistive touchscreen  256K colors,600 MHz ARM 11,256 MB RAM
beTouch E400,Acer,Soft-touch Black| Ceramic White and Pearl Red with 3 exchangeable battery covers,80,http://cdn2.gsmarena.com/vv/bigpic/acer-betouch-e400.jpg,320 x 480 pixels (~180 ppi pixel density),TFT resistive touchscreen  256K colors,600 MHz ARM 11,256 MB RAM
neoTouch P300,Acer,Black,80,http://cdn2.gsmarena.com/vv/bigpic/acer-p300.jpg,240 x 400 pixels (~146 ppi pixel density),TFT resistive touchscreen  65K colors,528 MHz ARM 11,256 MB RAM
beTouch E110,Acer,Black| Dark Blue,70,http://cdn2.gsmarena.com/vv/bigpic/acer-e110.jpg,240 x 320 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors (65K effective),ST Ericsson PNX6715 416MHz,256 MB RAM
Liquid,Acer,Black| White| Red,90,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-new.jpg,480 x 800 pixels (~267 ppi pixel density),TFT capacitive touchscreen  256K colors,768 MHz Scorpion,256 MB RAM
neoTouch,Acer,Black,210,http://cdn2.gsmarena.com/vv/bigpic/acer-neo-touch-new.jpg,480 x 800 pixels (~246 ppi pixel density),TFT resistive touchscreen  65K colors,1.0 GHz Scorpion,256 MB RAM
beTouch E200,Acer,Black| White,190,http://cdn2.gsmarena.com/vv/bigpic/acer-be-touch-e200.jpg,240 x 400 pixels (~155 ppi pixel density),TFT  65K colors,528 MHz ARM 11,256 MB RAM
beTouch E100,Acer,Black,180,http://cdn2.gsmarena.com/vv/bigpic/acer-be-touch-e100.jpg,240 x 400 pixels (~146 ppi pixel density),TFT resistive touchscreen  65K colors,528 MHz ARM 11,256 MB RAM
beTouch E101,Acer,Black,170,http://cdn2.gsmarena.com/vv/bigpic/acer-be-touch-e101.jpg,240 x 400 pixels (~146 ppi pixel density),TFT resistive touchscreen  65K colors,528 MHz ARM 11,256 MB RAM
DX650,Acer,Black,150,http://cdn2.gsmarena.com/vv/bigpic/acer-dx650.jpg,240 x 320 pixels (~143 ppi pixel density),TFT resistive touchscreen  65K colors,Samsung S3C 6410 533 MHz,
M900,Acer,Black,250,http://cdn2.gsmarena.com/vv/bigpic/acer-m900.jpg,480 x 800 pixels (~246 ppi pixel density),TFT resistive touchscreen  65K colors,533 MHz Samsung S3C 6410,
F900,Acer,Black,210,http://cdn2.gsmarena.com/vv/bigpic/acer-f900.jpg,480 x 800 pixels (~246 ppi pixel density),TFT resistive touchscreen  65K colors,533 MHz Samsung S3C 6410,128 MB RAM
X960,Acer,Black,270,http://cdn2.gsmarena.com/vv/bigpic/acer-x960.jpg,480 x 640 pixels (~286 ppi pixel density),TFT resistive touchscreen  65K colors,533 MHz Samsung S3C 6410,128 MB RAM
DX900,Acer,Black,90,http://cdn2.gsmarena.com/vv/bigpic/acer-dx900.jpg,480 x 640 pixels (~286 ppi pixel density),TFT resistive touchscreen  65K colors,533 MHz Samsung S3C 6410,128 MB RAM
Flash (2017),alcatel,Titanium Grey,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-flash-1.jpg,1080 x 1920 pixels (~401 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Deca-core (2x2.3 GHz Cortex-A72| 4x1.9 GHz Cortex-A53| 4x1.4 GHz Cortex-A53),3 GB RAM
U5,alcatel,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-u5.jpg,480 x 854 pixels (~196 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.1 GHz Cortex-A53,1 GB RAM
A5 LED,alcatel,Gray,200,http://cdn2.gsmarena.com/vv/bigpic/alcatel-a5-led.jpg,720 x 1280 pixels (~282 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core 1.3 GHz Cortex-A53,2 GB RAM or 32 GB| 3 RAM
A3,alcatel,White| Gray,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-a3.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.25 GHz Cortex-A53,1.5 GB RAM
A3 XL,alcatel,Sideral Gray/Silver|  White/Silver| White/Blue| White/Fuchsia| White/Yellow| Gold,120,http://cdn2.gsmarena.com/vv/bigpic/alcatel-a3-xl-.jpg,720 x 1280 pixels (~245 ppi pixel density),IPS FL LCD capacitive touchscreen  16M colors,Quad-core 1.1 GHz Cortex-A53,2 GB RAM
Shine Lite,alcatel,Satin Gold| Pure White| Prime Black,200,http://cdn2.gsmarena.com/vv/bigpic/alcatel-shine-lite.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A53,2 GB RAM
Pixi 4 Plus Power,alcatel,Black| White| Blue| Orange| Green,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-4-plus-power.jpg,720 x 1280 pixels (~267 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,,1 GB RAM
Fierce 4,alcatel,Black,80,http://cdn2.gsmarena.com/vv/bigpic/alcatel-fierce-4.jpg,720 x 1280 pixels (~267 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.1 GHz Cortex-A7,2 GB RAM
X1,alcatel,White| Black,250,http://cdn2.gsmarena.com/vv/bigpic/alcatel-x1.jpg,720 x 1280 pixels (~294 ppi pixel density),Super AMOLED capacitive touchscreen  16M colors,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),2 GB RAM
Pixi 4 (5),alcatel,Black,60,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-4-5.jpg,480 x 854 pixels (~196 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz,1 GB RAM
Flash Plus 2,alcatel,Venus Gold| Luna Silver,140,http://cdn2.gsmarena.com/vv/bigpic/alcatel-flash-plus-2-.jpg,1080 x 1920 pixels (~401 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),2 GB RAM or 32 GB| 3 GB RAM
POP 7 LTE,alcatel,White,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch-pop-7-lte.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core 1.1 GHz,1 GB RAM
Pop 4S,alcatel,Various,150,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-4s.jpg,1080 x 1920 pixels (~401 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),2 GB RAM
Pop 4+,alcatel,Various,110,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-4-plus.jpg,720 x 1280 pixels (~267 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.1 GHz Cortex-A7,1.5 GB RAM
Pop 4,alcatel,Various,80,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-4-2016.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.1 GHz Cortex-A7,1 GB RAM
Idol 4s Windows,alcatel,Halo Gold,440,http://cdn2.gsmarena.com/vv/bigpic/alcatel-idol-4s-windows.jpg,1080 x 1920 pixels (~401 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),4 GB RAM
Idol 4s,alcatel,Gold| Dark Gray| Rose Gold| Metal Silver,350,http://cdn2.gsmarena.com/vv/bigpic/alcatel-idol-4s-.jpg,1440 x 2560 pixels (~534 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),3 GB RAM
