model,brand,colors,approx_price_EUR,img_url,display_size,display_type,CPU,RAM
Idol Mini,alcatel,Cranberry Pink| Silver| Slate,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-mini-new.jpg,480 x 854 pixels (~228 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Dual-core 1.3 GHz Cortex-A7,512 MB RAM (Singlel SIM)/ 8 GB| 512 MB RAM (Dual SIM)
One Touch T10,alcatel,Black/Silver,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-t10.jpg,480 x 800 pixels (~133 ppi pixel density),TFT capacitive touchscreen,1.0 GHz Cortex-A8,1 GB RAM
One Touch Snap LTE,alcatel,Bluish Black| Cloudy| Metallic Red| White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-snap-lte.jpg,480 x 854 pixels (~211 ppi pixel density),Capacitive touchscreen  16M colors,Dual-core 1.2 GHz,1 GB RAM
One Touch Pixi,alcatel,White| Night Sky,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-new.jpg,320 x 480 pixels (~165 ppi pixel density),TFT touchscreen  256K colors,1.0 GHz,256 MB RAM
One Touch Snap,alcatel,Silver| Cloudy| White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-snap.jpg,540 x 960 pixels (~245 ppi pixel density),Capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
Idol X,alcatel,Blue| Black| Red| Yellow,370,http://cdn2.gsmarena.com/vv/bigpic/alcatel-idol-x-new.jpg,1080 x 1920 pixels (~441 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.5 GHz Cortex-A7,2 GB RAM
One Touch Fire,alcatel,Mozilla Orange| Apple Green| Pure White,120,http://cdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-fire1.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,1.0 GHz Cortex-A5,512 MB ROM| 256 MB RAM
One Touch Star,alcatel,Black| White| Pink,220,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-star-6010-silver.jpg,480 x 800 pixels (~233 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A9,512 MB RAM
One Touch Scribe Easy,alcatel,Flash Red| Flash Yellow| Black and Flash Blue,170,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-scribe-easy1.jpg,480 x 800 pixels (~187 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.2 GHz Cortex-A5,512 MB RAM
One Touch Evo 7,alcatel,Twilight Blue| Black| Vermillion,100,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-evo-7.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT touchscreen,1.0 GHz,1 GB RAM
One Touch Evo 7 HD,alcatel,Black| White,140,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-evo-7-hd-new.jpg,800 x 1280 pixels (~216 ppi pixel density),IPS LCD capacitive touchscreen,Dual-core 1.6 GHz,1 GB RAM
One Touch Tab 8 HD,alcatel,Black,140,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-tab-8-hd-new.jpg,768 x 1024 pixels (~160 ppi pixel density),IPS LCD capacitive touchscreen,Dual-core 1.6 GHz,1 GB RAM
One Touch Tab 7,alcatel,Black,100,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-tab-7.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen,1.0 GHz Cortex-A9,1 GB RAM
One Touch Tab 7 HD,alcatel,Black,110,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-tab-7-hd-new.jpg,800 x 1280 pixels (~216 ppi pixel density),IPS LCD capacitive touchscreen,Dual-core 1.6 GHz Cortex-A9,1 GB RAM
One Touch Idol Ultra,alcatel,Black| Red| Yellow| Green| Turquoise,270,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-idol-ultra.jpg,720 x 1280 pixels (~316 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Dual-core 1.2 GHz Cortex-A9,1 GB RAM
One Touch Idol,alcatel,Silver| Slate| Pink| Red| Yellow,230,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-idol.jpg,540 x 960 pixels (~236 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A9,1 GB RAM
One Touch T'Pop,alcatel,Bluish Black| Pure White| Flash Red| Hot Pink| Turquoise| Apple Green| Tangerine,100,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-tpop.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,1.0 GHz Cortex-A9,256 MB RAM
One Touch S'Pop,alcatel,,100,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-spop.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,1.0 GHz Cortex-A9,512 MB RAM
One Touch M'Pop,alcatel,Black| Aubergine| Cherry Red| Ocean Blue| Slate| Hot Pink| Tangerine| Turquoise| Apple Green| Pure White,140,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-mpop.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen  16M colors,1.0 GHz Cortex-A9,512 MB RAM/ 1 GB RAM (only OT-5020W model)
One Touch X'Pop,alcatel,Black| Aubergine| Cherry Red| Ocean Blue| Slate| Hot Pink| Tangerine| Turquoise| Apple Green| Pure White,150,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-xpop.jpg,540 x 960 pixels (~245 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A9,512 MB RAM
One Touch Scribe HD-LTE,alcatel,Reddish Black,350,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-scribe-lte.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
One Touch Scribe X,alcatel,White Devil| Black Devil| Twilight Blue| Carpet| Anodized Bluish Black| Anodized Cranberry Pink| White Carbon| Black Carbon,620,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-scribe-x.jpg,1080 x 1920 pixels (~441 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
One Touch Scribe HD,alcatel,Pure White| Black| Flash Red| Flash Yellow,220,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-scribe-hd.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A7,1 GB RAM
View,alcatel,White| Black| Pink| Orange,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-view.jpg,480 x 800 pixels (~233 ppi pixel density),IPS LCD capacitive touchscreen,1.0 GHz,512 MB RAM
OT-983,alcatel,Black| Cherry red,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-983.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,1.0 GHz,512 MB RAM
OT-997D,alcatel,Black| White,280,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-997d.jpg,480 x 800 pixels (~217 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A9,1 GB RAM
OT-997,alcatel,Ardesia| White| Dark Red| Orange,250,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-997.jpg,480 x 800 pixels (~217 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A9,1 GB RAM
OT-992D,alcatel,Black| White| Red| Gold,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-992d.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A9,512 MB RAM
OT-978,alcatel,Black,210,http://cdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-978.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen  16M colors,,
OT-988 Shockwave,alcatel,Black,380,http://cdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-shockwave.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,800 MHz Cortex-A5,512 MB RAM
OT-993,alcatel,Black| White| Aubergine,150,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot993.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen  16M colors,1.0 GHz Cortex-A9,
OT-903,alcatel,Black| Pure White| Fuschia| Cherry Red,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot903.jpg,240 x 320 pixels (~143 ppi pixel density),TFT capacitive touchscreen  256K colors,650 MHz Cortex-A9,
OT-838,alcatel,Black| Ocean Blue| Red| Lavender,60,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot838.jpg,320 x 240 pixels (~167 ppi pixel density),TFT  256K colors,208 MHz,
OT-668,alcatel,Black| Cherry Red| Aubergine,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot668.jpg,128 x 160 pixels (~116 ppi pixel density),TFT  256K colors,104 MHz,
OT-605,alcatel,Cherry Red| Raven,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot605.jpg,240 x 320 pixels (~167 ppi pixel density),TFT resistive touchscreen  256K colors,104 MHz,
OT-986,alcatel,Black,250,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot986.jpg,720 x 1280 pixels (~326 ppi pixel density),IPS LCD  capacitive touchscreen  16M colors,Dual-core 1.5 GHz Cortex-A9,1 GB RAM
OT-991,alcatel,Black| White,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot991.jpg,320 x 480 pixels (~144 ppi pixel density),TFT capacitive touchscreen  256K colors,800 MHz Cortex-A9,
OT-916,alcatel,Black| White,120,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot916.jpg,-,TFT capacitive touchscreen  256K colors,650 MHz Cortex-A9,
OT-720,alcatel,Black| Pure white| Lilac,60,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot720.jpg,240 x 320 pixels (~143 ppi pixel density),TFT touchscreen  256K colors,104 MHz,
OT-902,alcatel,White| Black| Cherry red,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot902.jpg,320 x 240 pixels (~167 ppi pixel density),TFT  256K colors,611 MHz,
OT-819 Soul,alcatel,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-819-soul.jpg,320 x 240 pixels (~167 ppi pixel density),TFT resistive touchscreen  256K colors,,
OT-870,alcatel,Black| Cherry red| Pure white,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot870.jpg,320 x 240 pixels (~200 ppi pixel density),TFT  256K colors,650 MHz,
OT-595,alcatel,Cherry Red| Fuchsia| Turquoise| Silver,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot595.jpg,220 x 176 pixels (~141 ppi pixel density),TFT  256K colors,104 MHz,
OT-358,alcatel,Black| White| Cherry Red,20,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot358.jpg,220 x 176 pixels (~141 ppi pixel density),TFT  256K colors,52 MHz,
OT-310,alcatel,Cherry Red| Silver| Fuchsia,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot310.jpg,160 x 128 pixels (~114 ppi pixel density),TFT  65K colors,52 MHz,
OT-318D,alcatel,White| Deep Red| Black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot318d.jpg,120 x 160 pixels (~114 ppi pixel density),TFT  256K colors,52 MHz,
OT-317D,alcatel,White| Deep Red| Black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot317d.jpg,120 x 160 pixels (~114 ppi pixel density),TFT  256K colors,52 MHz,
OT-308,alcatel,White| Deep Red| Black,30,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot308.jpg,128 x 128 pixels (~121 ppi pixel density),TFT  65K colors,52 MHz,
OT-282,alcatel,White| Seal Brown| Abyss,60,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot282.jpg,160 x 128 pixels (~114 ppi pixel density),TFT  65K colors,52 MHz,
OT-292,alcatel,Black| Pure White| Cherry Red| Silver| Violet,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot292.jpg,128 x 160 pixels (~114 ppi pixel density),TFT  65K colors,78 MHz,
OT-228,alcatel,Titanium Grey| Cherry  Red| Acid Green,20,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot228.jpg,128 x 128 pixels (~125 ppi pixel density),TFT  65K colors,78 MHz,
OT-915,alcatel,Black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-915.jpg,240 x 320 pixels (~143 ppi pixel density),TFT capacitive touchscreen  256K colors,,
OT-985,alcatel,Black| White| Cherry red,110,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch985.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,650 MHz Cortex-A9,256 MB RAM
OT-810D,alcatel,Mystery pink| Light chrome,60,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-810d.jpg,320 x 240 pixels (~167 ppi pixel density),TFT  256K colors,208 MHz,
OT-810,alcatel,Mystery pink| Light chrome,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-810.jpg,320 x 240 pixels (~167 ppi pixel density),TFT  256K colors,208 MHz,
OT-906,alcatel,Black| White| Pink,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-906.jpg,240 x 320 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors,,
OT-995,alcatel,Black| Spicy Red| Fuchsia| Pure White| Black White,220,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch995.jpg,480 x 800 pixels (~217 ppi pixel density),TFT capacitive touchscreen  16M colors,1.4 GHz Scorpion,512 MB RAM
OT-990,alcatel,Bluish black| Auberguine| Spicy red,110,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch990.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,600 MHz,
OT-910,alcatel,Steel Grey| Mystery pink| Bluish black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch910.jpg,240 x 320 pixels (~143 ppi pixel density),TFT capacitive touchscreen  256K colors,600 MHz,
OT-908F,alcatel,Black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch908f.jpg,240 x 320 pixels (~143 ppi pixel density),TFT capacitive touchscreen  256K colors,,
OT-908,alcatel,Mystery pink| Bluish black| Spicy red,80,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch908.jpg,240 x 320 pixels (~143 ppi pixel density),TFT capacitive touchscreen  256K colors,600 MHz,
OT-905,alcatel,Black| Aubergine| Cyber blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch905.jpg,240 x 320 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors,245 MHz,
OT-900,alcatel,White| Cyber blue| Cashmere Grey| Fuchsia,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch900.jpg,320 x 240 pixels (~167 ppi pixel density),TFT  256K colors,245 MHz,
OT-891 Soul,alcatel,Black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch891.jpg,320 x 240 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors,420 MHz,
OT-918,alcatel,Black| Aubergine| Cherry Red| Pure White,100,http://cdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-d918.jpg,320 x 480 pixels (~180 ppi pixel density),TFT capacitive touchscreen  256K colors,650 MHz Cortex-A9,256 MB RAM
OT-918D,alcatel,Black,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-d918d.jpg,320 x 480 pixels (~180 ppi pixel density),TFT capacitive touchscreen  256K colors,650 MHz Cortex-A9,256 MB RAM
OT-890D,alcatel,Purple| Orange| Gray,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch890.jpg,320 x 240 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors,420 MHz,
OT-890,alcatel,Steel Grey| Fuchsia| Electric orange,80,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch890.jpg,320 x 240 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors,420 MHz,
OT-888,alcatel,Bluish black| Aubergine| Acid green| Orange,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch888.jpg,240 x 400 pixels (~146 ppi pixel density),TFT resistive touchscreen  256K colors,208 MHz,
OT-818,alcatel,Steel Grey| Cyber blue| Mystery pink,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch818.jpg,240 x 400 pixels (~146 ppi pixel density),TFT resistive touchscreen  256K colors,208 MHz,
OT-813F,alcatel,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-813f.jpg,320 x 240 pixels (~167 ppi pixel density),TFT resistive touchscreen  256K colors,,
OT-813D,alcatel,Black| Purple| Orange| Blue| Gray,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-813d.jpg,320 x 240 pixels (~167 ppi pixel density),TFT resistive touchscreen  256K colors,208 MHz,
OT-807,alcatel,Cherry red| Drak chrome| Orange,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch807.jpg,320 x 240 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors,208 MHz,
OT-803,alcatel,Steel Grey| Black| Spicy red| Cyber blue| Fuchsia,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch803.jpg,320 x 240 pixels (~167 ppi pixel density),TFT resistive touchscreen  256K colors,208 MHz,
OT-799 Play,alcatel,Black/red| Cherry/red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch799.jpg,320 x 240 pixels (~167 ppi pixel density),TFT  65K colors,208 MHz,
OT-690,alcatel,Black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch690.jpg,176 x 220 pixels (~141 ppi pixel density),TFT  256K colors,245 MHz,
OT-665,alcatel,White| Red| Dark blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch665.jpg,128 x 160 pixels (~116 ppi pixel density),TFT  256K colors,104 MHz,
OT-602,alcatel,Titanium gray| Fuchsia| Cyber blue| Orange| Aubergine| Black,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch602.jpg,240 x 320 pixels (~167 ppi pixel density),TFT resistive touchscreen  256K colors,104 MHz,
OT-585,alcatel,Steel Grey| Mystery pink| Orange| Bluish black,,http://cdn2.gsmarena.com/vv/bigpic/acatel-onetouch585.jpg,220 x 176 pixels (~141 ppi pixel density),TFT  256K colors,104 MHz,
OT-506,alcatel,Black| Spicy red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch506.jpg,128 x 160 pixels (~116 ppi pixel density),TFT  65K colors,104 MHz,
OT-385,alcatel,Siver| Cherry red| Cyber blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch385.jpg,220 x 176 pixels (~141 ppi pixel density),TFT  256K colors,104 MHz,
OT-361,alcatel,Cashmare gray| Cyber blue| Spicy red| Glossy black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch361.jpg,128 x 160 pixels (~116 ppi pixel density),TFT  256K colors,52 MHz,
OT-355,alcatel,Siver| Cherry red| Cyber blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch355.jpg,160 x 128 pixels (~114 ppi pixel density),TFT  65K colors,52 MHz,
OT-330,alcatel,Silver| Spicy red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch330.jpg,128 x 160 pixels (~114 ppi pixel density),TFT  256K colors,245 MHz,
OT-306,alcatel,Black| Cherry red| Pure white,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch306.jpg,128 x 128 pixels (~125 ppi pixel density),TFT  65K colors,52 MHz,
OT-223,alcatel,Cashmere gray| Orange| Turquoise,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch223.jpg,128 x 128 pixels (~125 ppi pixel density),TFT  65K colors,52 MHz,
OT-217,alcatel,Black| Red,30,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch217.jpg,128 x 128 pixels (~125 ppi pixel density),TFT  65K colors,78 MHz,
OT-213,alcatel,Black| Red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch213-new.jpg,128 x 128 pixels (~125 ppi pixel density),CSTN  65K colors,52 MHz,
OT-209,alcatel,Dark Grey| Deep Red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch209-new.jpg,128 x 128 pixels (~125 ppi pixel density),CSTN  65K colors,52 MHz,
OT-117,alcatel,Black| Deep Red| Blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch117.jpg,96 x 64 pixels (~87 ppi pixel density),Monochrome graphic,78 MHz,
OT-113,alcatel,Black| Deep red| Gray blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch113.jpg,96 x 64 pixels (~87 ppi pixel density),Monochrome graphic,52 MHz,
OT-112,alcatel,Black| Deep red| Gray blue,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch112.jpg,96 x 64 pixels (~87 ppi pixel density),Monochrome graphic,52 MHz,
OT-109,alcatel,Silver,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch109.jpg,96 x 64 pixels (~87 ppi pixel density),Monochrome graphic,52 MHz,
OT-105,alcatel,Dark gray| Deep red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch105-new.jpg,96 x 64 pixels (~87 ppi pixel density),Monochrome graphic,52 MHz,
OT-706,alcatel,Silver| Cherry red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch706.jpg,240 x 320 pixels (~167 ppi pixel density),TFT resistive touchscreen  256K colors,104 MHz,
Net,alcatel,Pure White| Lavender,,http://cdn2.gsmarena.com/vv/bigpic/Alcatel-One-Touch-Net.jpg,320 x 240 pixels (~167 ppi pixel density),TFT  65K colors,,
OT-808,alcatel,Dark Chrome| Pink Chrome,70,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-808.jpg,320 x 240 pixels (~167 ppi pixel density),TFT  65K colors,,
OT-606 One Touch CHAT,alcatel,Cherry Red| Dazzle Pink| Acid Green| Black|  Silver| White and Lilac,40,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-606.jpg,240 x 320 pixels (~182 ppi pixel density),TFT  256K colors,,
OT-255,alcatel,Black| Apple Green| Orange,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-255.jpg,128 x 160 pixels (~114 ppi pixel density),TFT  65K colors,,
OT-252,alcatel,Black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-252.jpg,160 x 128 pixels (~114 ppi pixel density),TFT  65K colors,,
OT-710,alcatel,Black| White| Cherry Red| Metallic Blue,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-710.jpg,240 x 320 pixels (~141 ppi pixel density),TFT resistive touchscreen  256K colors,,
OT-108,alcatel,Dark Grey| Deep Red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-108.jpg,96 x 64 pixels (~87 ppi pixel density),STN  monochrome graphics,,
OT-216,alcatel,Grey| Deep Red| Orange| Apple Green,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-216.jpg,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
OT-206,alcatel,Grey| Deep Red| Orange| Apple Green,30,http://cdn2.gsmarena.com/vv/bigpic/alcatel-206.jpg,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
OT-909 One Touch MAX,alcatel,Cherry Red| Pure White| Cashmere Grey,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-909.jpg,240 x 320 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors,,
Miss Sixty,alcatel,Pure White| Lavender,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-miss-sixty2.jpg,240 x 320 pixels (~167 ppi pixel density),TFT resistive touchscreen  65K colors,,
OT-880 One Touch XTRA,alcatel,Chrome| Cherry Red| Orange & Fuschia,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-880.jpg,320 x 240 pixels (~167 ppi pixel density),TFT resistive touchscreen  256K colors,,
OT-208,alcatel,Dark Grey| Deep Red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-208.jpg,128 x 128 pixels (~125 ppi pixel density),CSTN  65K colors,,
OT-301,alcatel,Steel Grey,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-300.jpg,128 x 128 pixels (~121 ppi pixel density),CSTN  65K colors,,
OT-300,alcatel,Deep Red| Umbra Grey,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-300.jpg,128 x 128 pixels (~125 ppi pixel density),CSTN  65K colors,,
OT-980,alcatel,Black Soft Touch| Steel Grey,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-980.jpg,240 x 320 pixels (~143 ppi pixel density),TFT resistive touchscreen  256K colors,,
OT-806,alcatel,Black| Indigo Grey & Bronze,150,http://cdn2.gsmarena.com/vv/bigpic/alcatel-806.jpg,320 x 240 pixels (~143 ppi pixel density),TFT touchscreen  256K colors,,
OT-802 Wave,alcatel,White & lavender| black & red| black & silver and white & silver,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-wave.jpg,320 x 240 pixels (~167 ppi pixel density),TFT   256K colors,,
OT-305,alcatel,Deep Red| Orange| Titanium Grey| Cherry red,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-305.jpg,128 x 128 pixels (~125 ppi pixel density),TFT  65K colors,,
OT-380,alcatel,Turqoise| Liliac,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-380.jpg,128 x 160 pixels (~114 ppi pixel density),TFT  65K colors,,
OT-505,alcatel,Cherry Red| Silver| Fresh Turquoise,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-505.jpg,128 x 160 pixels (~116 ppi pixel density),TFT  65K colors,,
OT-508A,alcatel,Soft Touch Orange| Mat Chrome,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-508a.jpg,128 x 160 pixels (~114 ppi pixel density),TFT  65K colors,,
OT-565,alcatel,Cherry Red| Titanium Grey,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch565.jpg,128 x 160 pixels (~116 ppi pixel density),TFT   65K colors,,
OT-106,alcatel,Grey| Deep Red| Orange| Apple Green,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot-106.jpg,94 x 64 pixels (~86 ppi pixel density),STN  monochrome graphics,,
OT-800 One Touch CHROME,alcatel,Pink| Blue| White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-chrome.jpg,320 x 240 pixels (~182 ppi pixel density),TFT  256K colors,,
OT-800 One Touch Tribe,alcatel,Apple Green| Titanium grey| Hot Pink| Cherry red| Ocean blue,140,http://cdn2.gsmarena.com/vv/bigpic/alcatel-800.jpg,320 x 240 pixels (~182 ppi pixel density),TFT  256K colors,,
OT-708 One Touch MINI,alcatel,Metallic Blue| Silver| Acid Green,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-708.jpg,240 x 320 pixels (~167 ppi pixel density),TFT touchscreen  256K colors,,
OT-660,alcatel,Dark Chrome| Pink Chrome,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-660.jpg,128 x 160 pixels (~114 ppi pixel density),TFT  65K colors,,
OT-383,alcatel,Titanium Grey| Soft touch Black & Red,30,http://cdn2.gsmarena.com/vv/bigpic/alcatel-383.jpg,128 x 160 pixels (~114 ppi pixel density),TFT  65K colors,,
